usp_refresh_dt_tm,card_type,card_refr_comp_lst,card_refr_comp_hash_id,card_hash_id,id,application,tabnum,grouper,mtrc_id,mtrc_cmn_nm,display_level,metric_name,mtrc_bmrk_ryg_eval_upper_lmt_cmpr_oprt,symbology,metric_value,metric_goal,metric_goal_ovrr_lbl,prim_org_caln_lbl,prim_org_mtrc_calc_raw_nbr,prim_org_mtrc_calc_rnd_nbr,prim_org_bmrk_calc_upper_raw_lmt,metric_state,prim_org_prfm_raw_pct,prim_org_prfm_rnd_pct,prim_org_time_frame_lbl,prim_org_rcnt_day_caln_lbl,prim_org_rcnt_day_calc_lbl,prim_org_rcnt_day_bmrk_oprt,prim_org_rcnt_day_goal,prim_org_rcnt_day_mtrc_calc_raw_nbr,prim_org_rcnt_day_mtrc_calc_rnd_nbr,prim_org_rcnt_day_state,prim_org_rcnt_day_prfm_rnd_pct,prim_org_rcnt_year_caln_lbl,prim_org_rcnt_year_calc_lbl,prim_org_rcnt_year_bmrk_oprt,prim_org_rcnt_year_goal,prim_org_rcnt_year_mtrc_calc_raw_nbr,prim_org_rcnt_year_mtrc_calc_rnd_nbr,prim_org_rcnt_year_state,prim_org_rcnt_year_prfm_rnd_pct,last_update,refresh_cadence,contrib_dat_is_curr_flg,rollup_type,rollup_identifier,rollup_identifier_role_lbl,location_name,location_abbrev,prim_org_hero_2_mtrc_calc_raw_nbr,prim_org_hero_2_mtrc_calc_rnd_nbr,prim_org_hero_2_state,prim_org_hero_2_cntx_lbl
2026-08-17T08:58:39.336,metric,71|Costing Company|1050 Healthfirst AdventHealth Centra Care,3818251404014833985,3818251404014833985,3818251404014833985,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),1050 Healthfirst AdventHealth Centra Care,Total Turnover (Rolling 12),<=,%,21.080000000000,<=18.400000000000,,Jul 2026,21.08,21.08,18.4,False,2.68,2.7,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Costing Company,Primary Health Cost Centers by Reporting Hierarchy,Region,1050 Healthfirst AdventHealth Centra Care,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|117955 PHSO Shawnee Mission Medical Center,4272975834559061108,4272975834559061108,4272975834559061108,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),117955 PHSO Shawnee Mission Medical Center,Total Turnover (Rolling 12),<=,%,12.630000000000,,,Jul 2026,12.63,12.63,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1000382 PHSO,FRL,117955 PHSO Shawnee Mission Medical Center,,,,False,
2026-08-17T08:58:39.336,metric,71|FRL|1000351 PCN Support,-8150157599203781467,-8150157599203781467,-8150157599203781467,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),1000351 PCN Support,Total Turnover (Rolling 12),<=,%,10.000000000000,<=10.000000000000,,Jul 2026,10.0,10.0,10.0,True,0.0,0.0,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,FRL,1087 AdventHealth Primary Care Network,Costing Company,1000351 PCN Support,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|126545 PCNSAR PC Venice 1221 Jacaranda Blvd,-6471297360666017225,-6471297360666017225,-6471297360666017225,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),126545 PCNSAR PC Venice 1221 Jacaranda Blvd,Total Turnover (Rolling 12),<=,%,53.330000000000,,,Jul 2026,53.33,53.33,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1000524 PCN Sarasota,FRL,126545 PCNSAR PC Venice 1221 Jacaranda Blvd,,,,False,
2026-08-17T08:58:39.336,metric,71|FRL|1000524 PCN Sarasota,-4719723593902900897,-4719723593902900897,-4719723593902900897,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),1000524 PCN Sarasota,Total Turnover (Rolling 12),<=,%,46.150000000000,<=0.000000000000,,Jul 2026,46.15,46.15,0.0,False,46.15,46.2,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,FRL,1087 AdventHealth Primary Care Network,Costing Company,1000524 PCN Sarasota,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|126733 PCNORG PC Apopka Wekiva Springs 2437 E Sem Blvd,-4515012635912661885,-4515012635912661885,-4515012635912661885,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),126733 PCNORG PC Apopka Wekiva Springs 2437 E Sem Blvd,Total Turnover (Rolling 12),<=,%,15.000000000000,,,Jul 2026,15.0,15.0,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1000358 PCN Orange,FRL,126733 PCNORG PC Apopka Wekiva Springs 2437 E Sem Blvd,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|120794 PCNVOL Twin Lakes Ste 170,6627442036996601047,6627442036996601047,6627442036996601047,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),120794 PCNVOL Twin Lakes Ste 170,Total Turnover (Rolling 12),<=,%,0.000000000000,,,Jul 2026,,,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1000354 PCN Volusia,FRL,120794 PCNVOL Twin Lakes Ste 170,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|126062 PCNVOL PC Daytona Beach 1500 Beville Road,4566808055798813688,4566808055798813688,4566808055798813688,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),126062 PCNVOL PC Daytona Beach 1500 Beville Road,Total Turnover (Rolling 12),<=,%,17.390000000000,,,Jul 2026,17.39,17.39,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1000354 PCN Volusia,FRL,126062 PCNVOL PC Daytona Beach 1500 Beville Road,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|117225 PCNPLK Physician Operations,1396540714172278521,1396540714172278521,1396540714172278521,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),117225 PCNPLK Physician Operations,Total Turnover (Rolling 12),<=,%,75.000000000000,,,Jul 2026,75.0,75.0,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1000363 PCN Polk,FRL,117225 PCNPLK Physician Operations,,,,False,
2026-08-17T08:58:39.336,metric,71|Cost Center|120884 PCNFLG Palm Coast Freytag 2 Mrl Med Pkwy Ste 201,998783612882879358,998783612882879358,998783612882879358,VISION 2030,30,Team Member Promise,71,Total Turnover (Rolling 12),120884 PCNFLG Palm Coast Freytag 2 Mrl Med Pkwy Ste 201,Total Turnover (Rolling 12),<=,%,20.000000000000,,,Jul 2026,20.0,20.0,,False,,,Jul 2026,,0.000000000000,,,,,False,,,0.000000000000,,,,,False,,2026-08-16 02:47 PM,,True,Cost Center,1000353 PCN Flagler,FRL,120884 PCNFLG Palm Coast Freytag 2 Mrl Med Pkwy Ste 201,,,,False,
