ItemType,Classification,Name,Extension,RelativePath,FullPath,SizeBytes,SizeMB,Created,LastModified
File,UNCLASSIFIED,page 1.txt,.txt,page 1.txt,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\page 1.txt,485778,0.4633,2026-08-17 11:38:34,2026-08-17 11:38:35
File,UNCLASSIFIED,page 2.txt,.txt,page 2.txt,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\page 2.txt,518356,0.4943,2026-08-17 11:48:55,2026-08-17 11:48:55
File,UNCLASSIFIED,page 3.txt,.txt,page 3.txt,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\page 3.txt,518356,0.4943,2026-08-17 11:43:23,2026-08-17 11:49:22
File,INVENTORY ARTIFACT,project_inventory_2026-08-17_152352.csv,.csv,project_inventory_2026-08-17_152352.csv,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\project_inventory_2026-08-17_152352.csv,3,0.0,2026-08-17 15:23:56,2026-08-17 15:23:56
File,INVENTORY ARTIFACT,project_tree_2026-08-17_152352.txt,.txt,project_tree_2026-08-17_152352.txt,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\project_tree_2026-08-17_152352.txt,31,0.0,2026-08-17 15:23:56,2026-08-17 15:23:56
File,ACTIVE SANDBOX,sandbox_updated_v3.py,.py,sandbox_updated_v3.py,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\sandbox_updated_v3.py,79737,0.076,2026-08-14 17:49:26,2026-08-17 01:24:45
File,EXCEL WORKBOOK,Vision 2030 Metrics_YTD June 2026 Report.xlsx,.xlsx,Vision 2030 Metrics_YTD June 2026 Report.xlsx,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\Vision 2030 Metrics_YTD June 2026 Report.xlsx,142613,0.136,2026-08-14 12:33:52,2026-08-14 14:48:51
File,UNCLASSIFIED,vision 2030.txt,.txt,vision 2030.txt,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision 2030.txt,13372091,12.7526,2026-07-22 12:20:17,2026-07-22 12:20:17
Directory,Directory,vision2030_certified_updater,,vision2030_certified_updater,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_certified_updater,0,0.0,2026-08-17 13:41:03,2026-08-17 13:42:00
File,ARCHIVE OR PACKAGE,vision2030_certified_updater.zip,.zip,vision2030_certified_updater.zip,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_certified_updater.zip,5575,0.0053,2026-08-17 13:40:56,2026-08-17 13:40:51
