Workbook Sheet,Workbook Row,Metric,Level,Location Type,Location,Original Division,Final Division,Report Geography,Mapping Status,Confidence,Matched Evidence,Hierarchy Path
Team,2665,Total Turnover (Rolling 12),2,Cost Center,110742 AHU Nursing Bachelor Degree Prgm,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1053 AdventHealth University > 1000201 AdventHealth University > 110742 AHU Nursing Bachelor Degree Prgm
Team,2666,Total Turnover (Rolling 12),2,Cost Center,110743 AHU Nursing Grad Degree Prgm,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1053 AdventHealth University > 1000201 AdventHealth University > 110743 AHU Nursing Grad Degree Prgm
Team,2667,Total Turnover (Rolling 12),2,Cost Center,110744 AHU DNAP Program,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1053 AdventHealth University > 1000201 AdventHealth University > 110744 AHU DNAP Program
Team,2668,Total Turnover (Rolling 12),2,Cost Center,110745 AHU MS in Physican Assistant,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1053 AdventHealth University > 1000201 AdventHealth University > 110745 AHU MS in Physican Assistant
Team,2669,Total Turnover (Rolling 12),2,Cost Center,110747 AHU Biomedical Sciences Tech,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1053 AdventHealth University > 1000201 AdventHealth University > 110747 AHU Biomedical Sciences Tech
Team,2670,Total Turnover (Rolling 12),2,Cost Center,110773 IMGCFL OP Ctr Imaging Oviedo,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000203 Imaging CFD Support > 110773 IMGCFL OP Ctr Imaging Oviedo
Team,2671,Total Turnover (Rolling 12),2,Cost Center,110775 IMGCFL OP Ctr Imaging Waterford Lakes,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000203 Imaging CFD Support > 110775 IMGCFL OP Ctr Imaging Waterford Lakes
Team,2672,Total Turnover (Rolling 12),2,Cost Center,110776 IMGCFL OP Ctr Imaging Lake Nona,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000203 Imaging CFD Support > 110776 IMGCFL OP Ctr Imaging Lake Nona
Team,2673,Total Turnover (Rolling 12),2,Cost Center,110777 IMGCFL OP Ctr Imaging Winter Garden,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Winter Garden,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000203 Imaging CFD Support > 110777 IMGCFL OP Ctr Imaging Winter Garden
Team,2674,Total Turnover (Rolling 12),2,Cost Center,110778 IMGCFL OP Ctr Imaging Altamonte,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000203 Imaging CFD Support > 110778 IMGCFL OP Ctr Imaging Altamonte
Team,2675,Total Turnover (Rolling 12),2,Cost Center,110780 IMGCFL OP Ctr Imaging Clermont HP,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000203 Imaging CFD Support > 110780 IMGCFL OP Ctr Imaging Clermont HP
Team,2676,Total Turnover (Rolling 12),2,Cost Center,110782 IMGCFL OP Ctr Imaging Celebration Pointe,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Celebration,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000203 Imaging CFD Support > 110782 IMGCFL OP Ctr Imaging Celebration Pointe
Team,2677,Total Turnover (Rolling 12),2,Cost Center,110784 IMGCFL OP Ctr Imaging Port Orange HP,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000203 Imaging CFD Support > 110784 IMGCFL OP Ctr Imaging Port Orange HP
Team,2678,Total Turnover (Rolling 12),2,Cost Center,110785 IMGCFL OP Ctr Imaging Innovation Tower,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000203 Imaging CFD Support > 110785 IMGCFL OP Ctr Imaging Innovation Tower
Team,2679,Total Turnover (Rolling 12),2,Cost Center,110786 IMGCFL OP Ctr Imaging Lake Mary,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000203 Imaging CFD Support > 110786 IMGCFL OP Ctr Imaging Lake Mary
Team,2680,Total Turnover (Rolling 12),2,Cost Center,110822 IMGACF OP Ctr Imaging Oviedo,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000204 Imaging CFD > 110822 IMGACF OP Ctr Imaging Oviedo
Team,2681,Total Turnover (Rolling 12),2,Cost Center,110824 IMGACF OP Ctr Imaging Waterford Lakes,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000204 Imaging CFD > 110824 IMGACF OP Ctr Imaging Waterford Lakes
Team,2682,Total Turnover (Rolling 12),2,Cost Center,110825 IMGACF OP Ctr Imaging Lake Nona,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000204 Imaging CFD > 110825 IMGACF OP Ctr Imaging Lake Nona
Team,2683,Total Turnover (Rolling 12),2,Cost Center,110826 IMGACF OP Ctr Imaging Winter Garden,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Winter Garden,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000204 Imaging CFD > 110826 IMGACF OP Ctr Imaging Winter Garden
