Workbook Sheet,Workbook Row,Metric,Level,Location Type,Location,Original Division,Final Division,Report Geography,Mapping Status,Confidence,Matched Evidence,Hierarchy Path
Team,2684,Total Turnover (Rolling 12),2,Cost Center,110827 IMGACF OP Ctr Imaging Altamonte,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000204 Imaging CFD > 110827 IMGACF OP Ctr Imaging Altamonte
Team,2685,Total Turnover (Rolling 12),2,Cost Center,110828 IMGACF OP Ctr Imaging Apopka,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Apopka,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000204 Imaging CFD > 110828 IMGACF OP Ctr Imaging Apopka
Team,2686,Total Turnover (Rolling 12),2,Cost Center,110831 IMGACF OP Ctr Imaging Celebration Pointe,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Celebration,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000204 Imaging CFD > 110831 IMGACF OP Ctr Imaging Celebration Pointe
Team,2687,Total Turnover (Rolling 12),2,Cost Center,110834 IMGACF OP Ctr Imaging Innovation Tower,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000204 Imaging CFD > 110834 IMGACF OP Ctr Imaging Innovation Tower
Team,2688,Total Turnover (Rolling 12),2,Cost Center,110835 IMGACF OP Ctr Imaging Lake Mary,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000204 Imaging CFD > 110835 IMGACF OP Ctr Imaging Lake Mary
Team,2689,Total Turnover (Rolling 12),2,Cost Center,110836 IMGACF Executive Imaging,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000204 Imaging CFD > 110836 IMGACF Executive Imaging
Team,2690,Total Turnover (Rolling 12),2,Cost Center,110837 IMGACF Executive Ambulatory,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000204 Imaging CFD > 110837 IMGACF Executive Ambulatory
Team,2691,Total Turnover (Rolling 12),2,Cost Center,110840 RHBSRV Rehabilitation Support Service,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110840 RHBSRV Rehabilitation Support Service
Team,2692,Total Turnover (Rolling 12),2,Cost Center,110841 RHBSRV OP Ctr Rehab Admin,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110841 RHBSRV OP Ctr Rehab Admin
Team,2693,Total Turnover (Rolling 12),2,Cost Center,110842 RHBSRV OP Ctr Rehab Admin Celebration,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Celebration,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110842 RHBSRV OP Ctr Rehab Admin Celebration
