Row ID,Business Area,Metric,Matched Division,Source Division,Location Type,Location,Original Division,Report Geography,Mapping Status,Mapping Confidence,Mapping Evidence,Value,Local Goal,Derived Goal Status,Status Basis,Source Variance,Source Variance Color,YTD,Data As Of
LEARNING::21,Learning,Leader Effectiveness (Facility Leadership),Multistate Division (Unresolved),Multistate Division Cost Centers by Reporting Hierarchy,Division,Multistate Division Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,N/A,Multistate Division Cost Centers by Reporting Hierarchy,84.8,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::22,Learning,Leader Effectiveness (Facility Leadership),Primary Health Division,PHD,Division,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,N/A,N/A,N/A,N/A,86.0,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::23,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 1,MSD 1,Costing Company,1000 AdventHealth Hendersonville,MSD 1,N/A,N/A,N/A,N/A,86.2,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::24,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 1,MSD 1,Costing Company,1001 AdventHealth Manchester,MSD 1,N/A,N/A,N/A,N/A,89.8,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::25,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 1,MSD 1,Costing Company,1003 AdventHealth Polk,MSD 1,N/A,N/A,N/A,N/A,84.8,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::26,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1004 UChicago Medicine AdventHealth Hinsdale,MSD 2,N/A,N/A,N/A,N/A,86.0,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::27,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1005 UChicago Medicine AdventHealth La Grange,MSD 2,N/A,N/A,N/A,N/A,84.8,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::28,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1006 UChicago Medicine AdventHealth Bolingbrook,MSD 2,N/A,N/A,N/A,N/A,84.0,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::29,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1007 UChicago Medicine AdventHealth GlenOaks,MSD 2,N/A,N/A,N/A,N/A,83.2,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::30,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1009 UChicago Medicine AdventHealth Medical Group,MSD 2,N/A,N/A,N/A,N/A,84.5,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
