sheet,row,metric,level,location_type,location,real_division,rough_division,recommended_division,confidence,mapping_status,evidence,hierarchy_path,report_support,real_value,rough_value,goal,data_as_of,changed_fields
Team,1700,Total Turnover (Rolling 12),2,Cost Center,105788 OTT Physician Support,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,high,CONFIRMED_REGION_TO_DIVISION,Mid America Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Mid America Region Cost Centers by Reporting Hierarchy > 1044 AdventHealth Ottawa > 1000137 Ottawa > 105788 OTT Physician Support,Canonical match to a region grouping in the June report,0.0%,0.0%,≤ 17.3%,Jul 2026,Division
Team,1701,Total Turnover (Rolling 12),2,Cost Center,105791 OTT Nursing Administration,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,high,CONFIRMED_REGION_TO_DIVISION,Mid America Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Mid America Region Cost Centers by Reporting Hierarchy > 1044 AdventHealth Ottawa > 1000137 Ottawa > 105791 OTT Nursing Administration,Canonical match to a region grouping in the June report,21.8%,21.8%,≤ 17.3%,Jul 2026,Division
Team,1702,Total Turnover (Rolling 12),2,Cost Center,105807 OTT Patient Access Admitting,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,high,CONFIRMED_REGION_TO_DIVISION,Mid America Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Mid America Region Cost Centers by Reporting Hierarchy > 1044 AdventHealth Ottawa > 1000137 Ottawa > 105807 OTT Patient Access Admitting,Canonical match to a region grouping in the June report,36.6%,36.6%,≤ 17.3%,Jul 2026,Division
Team,1703,Total Turnover (Rolling 12),2,Cost Center,105835 OTT Environmental Services Hospital,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,high,CONFIRMED_REGION_TO_DIVISION,Mid America Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Mid America Region Cost Centers by Reporting Hierarchy > 1044 AdventHealth Ottawa > 1000137 Ottawa > 105835 OTT Environmental Services Hospital,Canonical match to a region grouping in the June report,21.9%,21.9%,≤ 17.3%,Jul 2026,Division
Team,1704,Total Turnover (Rolling 12),2,Cost Center,105837 OTT Engineering Services Maintenance,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,high,CONFIRMED_REGION_TO_DIVISION,Mid America Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Mid America Region Cost Centers by Reporting Hierarchy > 1044 AdventHealth Ottawa > 1000137 Ottawa > 105837 OTT Engineering Services Maintenance,Canonical match to a region grouping in the June report,17.4%,17.4%,≤ 17.3%,Jul 2026,Division
Team,1705,Total Turnover (Rolling 12),2,Cost Center,105844 OTT Food and Nutrition Services,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,high,CONFIRMED_REGION_TO_DIVISION,Mid America Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Mid America Region Cost Centers by Reporting Hierarchy > 1044 AdventHealth Ottawa > 1000137 Ottawa > 105844 OTT Food and Nutrition Services,Canonical match to a region grouping in the June report,57.1%,57.1%,≤ 17.3%,Jul 2026,Division
Team,1706,Total Turnover (Rolling 12),2,Cost Center,105875 ORLSUP Behavioral Administration,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105875 ORLSUP Behavioral Administration,Exact facility listed under division in June report,5.6%,5.6%,≤ 17.3%,Jul 2026,Division
Team,1707,Total Turnover (Rolling 12),2,Cost Center,105876 ORLSUP Emergency Administration,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105876 ORLSUP Emergency Administration,Exact facility listed under division in June report,8.8%,8.8%,≤ 17.3%,Jul 2026,Division
Team,1708,Total Turnover (Rolling 12),2,Cost Center,105879 ORLSUP Emergency Trans Ground,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105879 ORLSUP Emergency Trans Ground,Exact facility listed under division in June report,12.3%,12.3%,≤ 17.3%,Jul 2026,Division
Team,1709,Total Turnover (Rolling 12),2,Cost Center,105880 ORLSUP Emergency Trans Air,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105880 ORLSUP Emergency Trans Air,Exact facility listed under division in June report,5.5%,5.5%,≤ 17.3%,Jul 2026,Division
Team,1710,Total Turnover (Rolling 12),2,Cost Center,105886 ORLSUP Cardiology Administration,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105886 ORLSUP Cardiology Administration,Exact facility listed under division in June report,4.3%,4.3%,≤ 17.3%,Jul 2026,Division
Team,1711,Total Turnover (Rolling 12),2,Cost Center,105889 ORLSUP Neurology EEG,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105889 ORLSUP Neurology EEG,Exact facility listed under division in June report,0.0%,0.0%,≤ 17.3%,Jul 2026,Division
Team,1712,Total Turnover (Rolling 12),2,Cost Center,105890 ORLSUP Neurology Sleep Lab,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105890 ORLSUP Neurology Sleep Lab,Exact facility listed under division in June report,6.9%,6.9%,≤ 17.3%,Jul 2026,Division
Team,1713,Total Turnover (Rolling 12),2,Cost Center,105894 ORLSUP Surgery Administration,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105894 ORLSUP Surgery Administration,Exact facility listed under division in June report,5.1%,5.1%,≤ 17.3%,Jul 2026,Division
Team,1714,Total Turnover (Rolling 12),2,Cost Center,105895 ORLSUP Surgery Administration 2,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105895 ORLSUP Surgery Administration 2,Exact facility listed under division in June report,11.5%,11.5%,≤ 17.3%,Jul 2026,Division
Team,1715,Total Turnover (Rolling 12),2,Cost Center,105898 ORLSUP Pre Surgery,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105898 ORLSUP Pre Surgery,Exact facility listed under division in June report,20.5%,20.5%,≤ 17.3%,Jul 2026,Division
Team,1716,Total Turnover (Rolling 12),2,Cost Center,105899 ORLSUP Surgery Admin Orthopedics,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105899 ORLSUP Surgery Admin Orthopedics,Exact facility listed under division in June report,0.0%,0.0%,≤ 17.3%,Jul 2026,Division
Team,1717,Total Turnover (Rolling 12),2,Cost Center,105904 ORLSUP Endoscopy GI Admin,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105904 ORLSUP Endoscopy GI Admin,Exact facility listed under division in June report,24.0%,24.0%,≤ 17.3%,Jul 2026,Division
Team,1718,Total Turnover (Rolling 12),2,Cost Center,105906 ORLSUP Womens Health Administration,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105906 ORLSUP Womens Health Administration,Exact facility listed under division in June report,20.0%,20.0%,≤ 17.3%,Jul 2026,Division
Team,1719,Total Turnover (Rolling 12),2,Cost Center,105908 ORLSUP Diabetes,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105908 ORLSUP Diabetes,Exact facility listed under division in June report,35.5%,35.5%,≤ 17.3%,Jul 2026,Division
Team,1720,Total Turnover (Rolling 12),2,Cost Center,105909 ORLSUP Diabetes Weight Management Program,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105909 ORLSUP Diabetes Weight Management Program,Exact facility listed under division in June report,54.5%,54.5%,≤ 17.3%,Jul 2026,Division
Team,1721,Total Turnover (Rolling 12),2,Cost Center,105916 ORLSUP Imaging Administration,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105916 ORLSUP Imaging Administration,Exact facility listed under division in June report,15.3%,15.3%,≤ 17.3%,Jul 2026,Division
Team,1722,Total Turnover (Rolling 12),2,Cost Center,105918 ORLSUP Imaging Womens Med Support,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105918 ORLSUP Imaging Womens Med Support,Exact facility listed under division in June report,0.0%,0.0%,≤ 17.3%,Jul 2026,Division
Team,1723,Total Turnover (Rolling 12),2,Cost Center,105927 ORLSUP Lab Blood Donation Center,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105927 ORLSUP Lab Blood Donation Center,Exact facility listed under division in June report,7.8%,7.8%,≤ 17.3%,Jul 2026,Division
Team,1724,Total Turnover (Rolling 12),2,Cost Center,105932 ORLSUP Oncology Administration,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105932 ORLSUP Oncology Administration,Exact facility listed under division in June report,8.1%,8.1%,≤ 17.3%,Jul 2026,Division
Team,1725,Total Turnover (Rolling 12),2,Cost Center,105934 ORLSUP Oncology Registry,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105934 ORLSUP Oncology Registry,Exact facility listed under division in June report,5.4%,5.4%,≤ 17.3%,Jul 2026,Division
Team,1726,Total Turnover (Rolling 12),2,Cost Center,105936 ORLSUP Oncology Radiation Admin,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105936 ORLSUP Oncology Radiation Admin,Exact facility listed under division in June report,0.0%,0.0%,≤ 17.3%,Jul 2026,Division
Team,1727,Total Turnover (Rolling 12),2,Cost Center,105937 ORLSUP Oncology Radiation Dosimetry,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105937 ORLSUP Oncology Radiation Dosimetry,Exact facility listed under division in June report,15.1%,15.1%,≤ 17.3%,Jul 2026,Division
Team,1728,Total Turnover (Rolling 12),2,Cost Center,105942 ORLSUP Pharmacy Central Fill,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105942 ORLSUP Pharmacy Central Fill,Exact facility listed under division in June report,5.9%,5.9%,≤ 17.3%,Jul 2026,Division
Team,1729,Total Turnover (Rolling 12),2,Cost Center,105945 ORLSUP Pharmacy 340B,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105945 ORLSUP Pharmacy 340B,Exact facility listed under division in June report,4.8%,4.8%,≤ 17.3%,Jul 2026,Division
Team,1730,Total Turnover (Rolling 12),2,Cost Center,105946 ORLSUP Pharmacy Enviro Monitoring,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105946 ORLSUP Pharmacy Enviro Monitoring,Exact facility listed under division in June report,18.8%,18.8%,≤ 17.3%,Jul 2026,Division
Team,1731,Total Turnover (Rolling 12),2,Cost Center,105947 ORLSUP Pharmacy Administration,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105947 ORLSUP Pharmacy Administration,Exact facility listed under division in June report,12.7%,12.7%,≤ 17.3%,Jul 2026,Division
Team,1732,Total Turnover (Rolling 12),2,Cost Center,105948 ORLSUP Pharmacy Administration Retail,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105948 ORLSUP Pharmacy Administration Retail,Exact facility listed under division in June report,0.0%,0.0%,≤ 17.3%,Jul 2026,Division
Team,1733,Total Turnover (Rolling 12),2,Cost Center,105949 ORLSUP Pharmacy Quality and Regulator,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105949 ORLSUP Pharmacy Quality and Regulator,Exact facility listed under division in June report,6.7%,6.7%,≤ 17.3%,Jul 2026,Division
Team,1734,Total Turnover (Rolling 12),2,Cost Center,105950 ORLSUP Pharmacy Residency,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105950 ORLSUP Pharmacy Residency,Exact facility listed under division in June report,2.3%,2.3%,≤ 17.3%,Jul 2026,Division
Team,1735,Total Turnover (Rolling 12),2,Cost Center,105957 ORLSUP Rehabilitation Administration,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105957 ORLSUP Rehabilitation Administration,Exact facility listed under division in June report,5.2%,5.2%,≤ 17.3%,Jul 2026,Division
Team,1736,Total Turnover (Rolling 12),2,Cost Center,105961 ORLSUP Resp Therapy Skilled Nursing Apopka,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Apopka,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105961 ORLSUP Resp Therapy Skilled Nursing Apopka,Exact facility listed under division in June report,9.9%,9.9%,≤ 17.3%,Jul 2026,Division
Team,1737,Total Turnover (Rolling 12),2,Cost Center,105973 ORLSUP OP Ctr Lab Registration,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 105973 ORLSUP OP Ctr Lab Registration,Exact facility listed under division in June report,0.0%,0.0%,≤ 17.3%,Jul 2026,Division
Team,1738,Total Turnover (Rolling 12),2,Cost Center,106027 ORLSUP OP Ctr Chemo Infusion,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106027 ORLSUP OP Ctr Chemo Infusion,Exact facility listed under division in June report,0.0%,0.0%,≤ 17.3%,Jul 2026,Division
Team,1739,Total Turnover (Rolling 12),2,Cost Center,106078 ORLSUP Resident Administrative,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106078 ORLSUP Resident Administrative,Exact facility listed under division in June report,10.5%,10.5%,≤ 17.3%,Jul 2026,Division
Team,1740,Total Turnover (Rolling 12),2,Cost Center,106085 ORLSUP Resident Simulation Training,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106085 ORLSUP Resident Simulation Training,Exact facility listed under division in June report,63.2%,63.2%,≤ 17.3%,Jul 2026,Division
Team,1741,Total Turnover (Rolling 12),2,Cost Center,106105 ORLSUP Executive Consumer Strategy,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106105 ORLSUP Executive Consumer Strategy,Exact facility listed under division in June report,5.1%,5.1%,≤ 17.3%,Jul 2026,Division
Team,1742,Total Turnover (Rolling 12),2,Cost Center,106107 ORLSUP Executive Division,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106107 ORLSUP Executive Division,Exact facility listed under division in June report,8.8%,8.8%,≤ 17.3%,Jul 2026,Division
Team,1743,Total Turnover (Rolling 12),2,Cost Center,106117 ORLSUP Compliance,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106117 ORLSUP Compliance,Exact facility listed under division in June report,0.0%,0.0%,≤ 17.3%,Jul 2026,Division
Team,1744,Total Turnover (Rolling 12),2,Cost Center,106121 ORLSUP AdventHealth Credit Union,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106121 ORLSUP AdventHealth Credit Union,Exact facility listed under division in June report,16.3%,16.3%,≤ 17.3%,Jul 2026,Division
Team,1745,Total Turnover (Rolling 12),2,Cost Center,106124 ORLSUP Nursing Administration,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106124 ORLSUP Nursing Administration,Exact facility listed under division in June report,26.7%,26.7%,≤ 17.3%,Jul 2026,Division
Team,1746,Total Turnover (Rolling 12),2,Cost Center,106130 ORLSUP Nursing Pool Float IP,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106130 ORLSUP Nursing Pool Float IP,Exact facility listed under division in June report,24.7%,24.7%,≤ 17.3%,Jul 2026,Division
Team,1747,Total Turnover (Rolling 12),2,Cost Center,106131 ORLSUP Nursing Pool Float ED,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106131 ORLSUP Nursing Pool Float ED,Exact facility listed under division in June report,33.6%,33.6%,≤ 17.3%,Jul 2026,Division
Team,1748,Total Turnover (Rolling 12),2,Cost Center,106135 ORLSUP Clinical Education Sim Lab,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106135 ORLSUP Clinical Education Sim Lab,Exact facility listed under division in June report,14.1%,14.1%,≤ 17.3%,Jul 2026,Division
Team,1749,Total Turnover (Rolling 12),2,Cost Center,106136 ORLSUP Clinical Education Sim Lab 2,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106136 ORLSUP Clinical Education Sim Lab 2,Exact facility listed under division in June report,13.3%,13.3%,≤ 17.3%,Jul 2026,Division
Team,1750,Total Turnover (Rolling 12),2,Cost Center,106139 ORLSUP Nursing Staff Development,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106139 ORLSUP Nursing Staff Development,Exact facility listed under division in June report,21.4%,21.4%,≤ 17.3%,Jul 2026,Division
Team,1751,Total Turnover (Rolling 12),2,Cost Center,106140 ORLSUP Nursing Training and Residency,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106140 ORLSUP Nursing Training and Residency,Exact facility listed under division in June report,17.6%,17.6%,≤ 17.3%,Jul 2026,Division
Team,1752,Total Turnover (Rolling 12),2,Cost Center,106142 ORLSUP Nursing Student Education,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106142 ORLSUP Nursing Student Education,Exact facility listed under division in June report,97.3%,97.3%,≤ 17.3%,Jul 2026,Division
Team,1753,Total Turnover (Rolling 12),2,Cost Center,106143 ORLSUP Nursing Bed Placement,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000138 Orlando Support > 106143 ORLSUP Nursing Bed Placement,Exact facility listed under division in June report,2.8%,2.8%,≤ 17.3%,Jul 2026,Division
