sheet,row,metric,level,location_type,location,real_division,rough_division,recommended_division,confidence,mapping_status,evidence,hierarchy_path,report_support,real_value,rough_value,goal,data_as_of,changed_fields
Team,235,Forecast and Hire,2,FRL,1000277 AHMG WFD Carrollwood,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,high,CONFIRMED_FACILITY_TO_DIVISION,Carrollwood,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1065 AdventHealth Medical Group West Florida > 1000277 AHMG WFD Carrollwood,Exact facility listed under division in June report,1,1,"≥ 12,176",Jul 2026,Division
Team,236,Forecast and Hire,2,FRL,1000278 AHMG WFD Zephyrhills,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,high,CONFIRMED_FACILITY_TO_DIVISION,Zephyrhills,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1065 AdventHealth Medical Group West Florida > 1000278 AHMG WFD Zephyrhills,Exact facility listed under division in June report,3,3,"≥ 12,176",Jul 2026,Division
Team,237,Forecast and Hire,2,FRL,1000279 AHMG WFD North Pinellas,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,high,CONFIRMED_FACILITY_TO_DIVISION,North Pinellas,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1065 AdventHealth Medical Group West Florida > 1000279 AHMG WFD North Pinellas,Exact facility listed under division in June report,3,3,"≥ 12,176",Jul 2026,Division
Team,238,Forecast and Hire,2,FRL,1000281 AHMG WFD Ocala,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,high,CONFIRMED_FACILITY_TO_DIVISION,Ocala,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1065 AdventHealth Medical Group West Florida > 1000281 AHMG WFD Ocala,Exact facility listed under division in June report,9,9,"≥ 12,176",Jul 2026,Division
Team,239,Forecast and Hire,2,FRL,1000283 AHMG WFD Davenport,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,low,ORIGINAL_DIVISION_PRESERVED,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1065 AdventHealth Medical Group West Florida > 1000283 AHMG WFD Davenport,Preserved or unresolved; no report-backed conversion.,10,10,"≥ 12,176",Jul 2026,none
Team,240,Forecast and Hire,2,FRL,1000284 AHMG WFD Lake Wales,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,high,CONFIRMED_FACILITY_TO_DIVISION,Lake Wales,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1065 AdventHealth Medical Group West Florida > 1000284 AHMG WFD Lake Wales,Exact facility listed under division in June report,1,1,"≥ 12,176",Jul 2026,Division
Team,241,Forecast and Hire,2,FRL,1000286 AHMG WFD Riverview,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,high,CONFIRMED_FACILITY_TO_DIVISION,Riverview,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy > 1065 AdventHealth Medical Group West Florida > 1000286 AHMG WFD Riverview,Exact facility listed under division in June report,4,4,"≥ 12,176",Jul 2026,Division
Team,242,Forecast and Hire,2,FRL,1000350 Lenexa City Center,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,high,CONFIRMED_REGION_TO_DIVISION,Mid America Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Mid America Region Cost Centers by Reporting Hierarchy > 1038 AdventHealth Shawnee Mission > 1000350 Lenexa City Center,Canonical match to a region grouping in the June report,96,96,"≥ 12,176",Jul 2026,Division
Team,243,Forecast and Hire,2,FRL,1000351 PCN Support,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1087 AdventHealth Primary Care Network > 1000351 PCN Support,Canonical match to a division heading in the June report,8,8,"≥ 12,176",Jul 2026,Division
Team,244,Forecast and Hire,2,FRL,1000352 PHD Support,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1087 AdventHealth Primary Care Network > 1000352 PHD Support,Canonical match to a division heading in the June report,2,2,"≥ 12,176",Jul 2026,Division
Team,245,Forecast and Hire,2,FRL,1000353 PCN Flagler,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1087 AdventHealth Primary Care Network > 1000353 PCN Flagler,Canonical match to a division heading in the June report,9,9,"≥ 12,176",Jul 2026,Division
Team,246,Forecast and Hire,2,FRL,1000354 PCN Volusia,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1087 AdventHealth Primary Care Network > 1000354 PCN Volusia,Canonical match to a division heading in the June report,45,45,"≥ 12,176",Jul 2026,Division
Team,247,Forecast and Hire,2,FRL,1000355 PCN Marion,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1087 AdventHealth Primary Care Network > 1000355 PCN Marion,Canonical match to a division heading in the June report,20,20,"≥ 12,176",Jul 2026,Division
Team,248,Forecast and Hire,2,FRL,1000356 PCN Lake,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1087 AdventHealth Primary Care Network > 1000356 PCN Lake,Canonical match to a division heading in the June report,10,10,"≥ 12,176",Jul 2026,Division
Team,249,Forecast and Hire,2,FRL,1000357 PCN Seminole,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1087 AdventHealth Primary Care Network > 1000357 PCN Seminole,Canonical match to a division heading in the June report,39,39,"≥ 12,176",Jul 2026,Division
Team,250,Forecast and Hire,2,FRL,1000358 PCN Orange,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1087 AdventHealth Primary Care Network > 1000358 PCN Orange,Canonical match to a division heading in the June report,48,48,"≥ 12,176",Jul 2026,Division
Team,251,Forecast and Hire,2,FRL,1000359 PCN Hillsborough,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1087 AdventHealth Primary Care Network > 1000359 PCN Hillsborough,Canonical match to a division heading in the June report,40,40,"≥ 12,176",Jul 2026,Division
Team,252,Forecast and Hire,2,FRL,1000360 PCN Pasco,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1087 AdventHealth Primary Care Network > 1000360 PCN Pasco,Canonical match to a division heading in the June report,34,34,"≥ 12,176",Jul 2026,Division
Team,253,Forecast and Hire,2,FRL,1000361 PCN Pinellas,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1087 AdventHealth Primary Care Network > 1000361 PCN Pinellas,Canonical match to a division heading in the June report,13,13,"≥ 12,176",Jul 2026,Division
Team,254,Forecast and Hire,2,FRL,1000362 PCN Osceola,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1087 AdventHealth Primary Care Network > 1000362 PCN Osceola,Canonical match to a division heading in the June report,13,13,"≥ 12,176",Jul 2026,Division
Team,255,Forecast and Hire,2,FRL,1000363 PCN Polk,Primary Health Division Cost Centers by Reporting Hierarchy,MSD 1,MSD 1,high,CONFIRMED_FACILITY_TO_DIVISION,Polk,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1087 AdventHealth Primary Care Network > 1000363 PCN Polk,Exact facility listed under division in June report,6,6,"≥ 12,176",Jul 2026,Division
Team,256,Forecast and Hire,2,FRL,1000366 Corporate Home Office,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,low,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,corporate services division cost centers by reporting hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy > 1088 AdventHealth Corporate > 1000366 Corporate Home Office,Preserved or unresolved; no report-backed conversion.,476,476,"≥ 12,176",Jul 2026,none
Team,257,Forecast and Hire,2,FRL,1000368 Revenue Cycle Services,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,low,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,corporate services division cost centers by reporting hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy > 1088 AdventHealth Corporate > 1000368 Revenue Cycle Services,Preserved or unresolved; no report-backed conversion.,89,89,"≥ 12,176",Jul 2026,none
Team,258,Forecast and Hire,2,FRL,1000371 AIT,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,low,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,corporate services division cost centers by reporting hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > AIT Cost Centers by Reporting Hierarchy > 1091 AdventHealth Information Technology > 1000371 AIT,Preserved or unresolved; no report-backed conversion.,148,148,"≥ 12,176",Jul 2026,none
